Subject_Name,Student_Name,Approve
Art,Grace Gray,NO
Art,Grace Green,NO
Art,Grace Indigo,NO
Art,Grace Johnson,NO
Art,Grace Magenta,NO
Art,Grace Orange,NO
Art,Grace Pink,NO
Art,Grace Purple,NO
Art,Grace Red,NO
Art,Grace Teal,NO
Art,Grace Violet,NO
Art,Grace White,NO
Art,Grace Yellow,YES
Art,Hank Azure,NO
Art,Hank Beige,NO
Art,Hank Black,NO
Art,Hank Blue,NO
Art,Hank Brown,NO
Art,Hank Cyan,NO
Art,Hank Davis,NO
Art,Hank Gray,NO
Art,Hank Green,YES
Art,Hank Indigo,NO
Art,Hank Johnson,NO
Art,Hank Magenta,NO
Art,Hank Orange,NO
Art,Hank Pink,NO
Art,Hank Purple,NO
Art,Hank Red,NO
Art,Hank Teal,NO
Art,Hank Violet,NO
Art,Hank White,NO
Art,Hank Yellow,NO
Art,Ivy Azure,NO
Art,Ivy Beige,NO
Art,Ivy Black,NO
Art,Ivy Blue,NO
Art,Ivy Brown,NO
Art,Ivy Cyan,NO
Art,Ivy Davis,NO
Art,Ivy Gray,NO
Art,Ivy Green,NO
Art,Ivy Indigo,NO
Art,Ivy Johnson,NO
Art,Ivy Magenta,YES
Art,Ivy Orange,NO
Art,Ivy Pink,NO
Art,Ivy Purple,NO
Art,Ivy Red,NO
Art,Ivy Teal,NO
Art,Ivy Violet,NO
Art,Ivy White,YES
Art,Ivy Yellow,NO
Art,Jack Azure,NO
Art,Jack Beige,NO
Art,Jack Black,NO
Art,Jack Blue,NO
Art,Jack Brown,NO
Art,Jack Cyan,NO
Art,Jack Davis,NO
Art,Jack Gray,NO
Art,Jack Green,NO
Art,Jack Indigo,NO
Art,Jack Johnson,YES
Art,Jack Magenta,NO
Art,Jack Orange,YES
Art,Jack Pink,NO
Art,Jack Purple,NO
Art,Jack Red,NO
Art,Jack Teal,NO
Art,Jack Violet,NO
Art,Jack White,NO
Art,Jack Yellow,NO
Art,Kelly Azure,YES
Art,Kelly Beige,NO
Art,Kelly Black,NO
Art,Kelly Blue,YES
Art,Kelly Brown,NO
Art,Kelly Cyan,NO
Art,Kelly Davis,NO
Art,Kelly Gray,NO
Art,Kelly Green,NO
Art,Kelly Indigo,NO
Art,Kelly Johnson,NO
Art,Kelly Magenta,NO
Art,Kelly Orange,NO
Art,Kelly Pink,NO
Art,Kelly Purple,NO
Art,Kelly Red,YES
Art,Kelly Teal,NO
Art,Kelly Violet,NO
Art,Kelly White,NO
Art,Kelly Yellow,NO
Art,Liam Azure,NO
Art,Liam Beige,NO
Art,Liam Black,YES
Art,Liam Blue,NO
Art,Liam Brown,YES
Art,Liam Cyan,NO
Art,Liam Davis,NO
Art,Liam Gray,NO
Art,Liam Green,NO
Art,Liam Indigo,NO
Art,Liam Johnson,YES
Art,Liam Magenta,NO
Art,Liam Orange,YES
Art,Liam Pink,YES
Art,Liam Purple,NO
Art,Liam Red,NO
Art,Liam Teal,NO
Art,Liam Violet,NO
Art,Liam White,NO
Art,Liam Yellow,NO
Art,Mona Azure,NO
Art,Mona Beige,NO
Art,Mona Black,NO
Art,Mona Blue,YES
Art,Mona Brown,YES
Art,Mona Cyan,NO
Art,Mona Davis,NO
Art,Mona Gray,NO
Art,Mona Green,NO
Art,Mona Indigo,NO
Art,Mona Johnson,NO
Art,Mona Magenta,NO
Art,Mona Orange,YES
Art,Mona Pink,NO
Art,Mona Purple,NO
Art,Mona Red,YES
Art,Mona Teal,NO
Art,Mona Violet,NO
Art,Mona White,NO
Art,Mona Yellow,YES
Art,Nick Azure,YES
Art,Nick Beige,NO
Art,Nick Black,NO
Art,Nick Blue,NO
Art,Nick Brown,NO
Art,Nick Cyan,NO
Art,Nick Davis,NO
Art,Nick Gray,NO
Art,Nick Green,NO
Art,Nick Indigo,NO
Art,Nick Johnson,YES
Art,Nick Magenta,YES
Art,Nick Orange,NO
Art,Nick Pink,YES
Art,Nick Purple,NO
Art,Nick Red,NO
Art,Nick Teal,NO
Art,Nick Violet,NO
Art,Nick White,NO
Art,Nick Yellow,NO
Art,Olivia Azure,NO
Art,Olivia Beige,NO
Art,Olivia Black,YES
Art,Olivia Blue,NO
Art,Olivia Brown,NO
Art,Olivia Cyan,NO
Art,Olivia Davis,YES
Art,Olivia Gray,NO
Art,Olivia Green,NO
Art,Olivia Indigo,NO
Art,Olivia Johnson,NO
Art,Olivia Magenta,NO
Art,Olivia Orange,NO
Art,Olivia Pink,NO
Art,Olivia Purple,NO
Art,Olivia Red,NO
Art,Olivia Teal,YES
Art,Olivia Violet,NO
Art,Olivia White,NO
Art,Olivia Yellow,NO
Art,Paul Azure,NO
Art,Paul Beige,YES
Art,Paul Black,YES
Art,Paul Blue,NO
Art,Paul Brown,NO
Art,Paul Cyan,NO
Art,Paul Davis,NO
Art,Paul Gray,YES
Art,Paul Green,NO
Art,Paul Indigo,YES
Art,Paul Johnson,NO
Art,Paul Magenta,YES
Art,Paul Orange,NO
Art,Paul Pink,NO
Art,Paul Purple,NO
Art,Paul Red,NO
Art,Paul Teal,YES
Art,Paul Violet,YES
Art,Paul White,NO
Art,Paul Yellow,NO
Art,Quincy Azure,NO
Art,Quincy Beige,NO
Art,Quincy Black,NO
Art,Quincy Blue,NO
Art,Quincy Brown,YES
Art,Quincy Cyan,NO
Art,Quincy Davis,NO
Art,Quincy Gray,NO
Art,Quincy Green,NO
Art,Quincy Indigo,NO
Art,Quincy Johnson,NO
Art,Quincy Magenta,NO
Art,Quincy Orange,YES
Art,Quincy Pink,NO
Art,Quincy Purple,NO
Art,Quincy Red,NO
Art,Quincy Teal,NO
Art,Quincy Violet,NO
Art,Quincy White,NO
Art,Quincy Yellow,NO
Art,Rita Azure,NO
Art,Rita Beige,NO
Art,Rita Black,NO
Art,Rita Blue,NO
Art,Rita Brown,NO
Art,Rita Cyan,NO
Art,Rita Davis,NO
Art,Rita Gray,YES
Art,Rita Green,NO
Art,Rita Indigo,NO
Art,Rita Johnson,NO
Art,Rita Magenta,NO
Art,Rita Orange,NO
Art,Rita Pink,NO
Art,Rita Purple,NO
Art,Rita Red,NO
Art,Rita Teal,NO
Art,Rita Violet,YES
Art,Rita White,NO
Art,Rita Yellow,NO
Art,Sam Azure,NO
Art,Sam Beige,YES
Art,Sam Black,NO
Art,Sam Blue,NO
Art,Sam Brown,NO
Art,Sam Cyan,NO
Art,Sam Davis,NO
Art,Sam Gray,NO
Art,Sam Green,NO
Art,Sam Indigo,NO
Art,Sam Johnson,NO
Art,Sam Magenta,NO
Art,Sam Orange,YES
Art,Sam Pink,NO
Art,Sam Purple,NO
Art,Sam Red,NO
Art,Sam Teal,NO
Art,Sam Violet,NO
Art,Sam White,NO
Art,Alice Azure,NO
Art,Alice Black,NO
Art,Alice Blue,NO
Art,Alice Brown,NO
Art,Alice Cyan,NO
Art,Alice Davis,NO
Art,Alice Gray,NO
Art,Alice Green,NO
Art,Alice Indigo,NO
Art,Alice Johnson,NO
Art,Alice Magenta,NO
Art,Alice Orange,NO
Art,Alice Pink,YES
Art,Alice Purple,NO
Art,Alice Red,NO
Art,Alice Teal,NO
Art,Alice Violet,YES
Art,Alice White,NO
Art,Alice Yellow,YES
Art,Bob Azure,NO
Art,Bob Beige,YES
Art,Bob Black,NO
Art,Bob Blue,YES
Art,Bob Brown,NO
Art,Bob Cyan,YES
Art,Bob Davis,NO
Art,Bob Gray,YES
Art,Bob Green,YES
Art,Bob Indigo,NO
Art,Bob Johnson,NO
Art,Bob Magenta,NO
Art,Bob Orange,NO
Art,Bob Pink,NO
Art,Bob Purple,NO
Art,Bob Red,YES
Art,Bob Teal,NO
Art,Bob Violet,YES
Art,Bob White,NO
Art,Bob Yellow,NO
Art,Charlie Azure,YES
Art,Charlie Beige,YES
Art,Charlie Black,NO
Art,Charlie Blue,YES
Art,Charlie Brown,YES
Art,Charlie Cyan,NO
Art,Charlie Davis,YES
Art,Charlie Gray,NO
Art,Charlie Green,YES
Art,Charlie Indigo,NO
Art,Charlie Johnson,NO
Art,Charlie Magenta,NO
Art,Charlie Orange,YES
Art,Charlie Pink,NO
Art,Charlie Purple,NO
Art,Charlie Red,NO
Art,Charlie Teal,NO
Art,Charlie Violet,NO
Art,Charlie White,YES
Art,Charlie Yellow,YES
Art,Dana Azure,NO
Art,Dana Beige,YES
Art,Dana Black,NO
Art,Dana Blue,YES
Art,Dana Brown,NO
Art,Dana Cyan,NO
Art,Dana Davis,YES
Art,Dana Gray,NO
Art,Dana Green,YES
Art,Dana Indigo,YES
Art,Dana Johnson,YES
Art,Dana Magenta,NO
Art,Dana Orange,NO
Art,Dana Pink,YES
Art,Dana Purple,NO
Art,Dana Red,YES
Art,Dana Teal,YES
Art,Dana Violet,NO
Art,Dana White,YES
Art,Dana Yellow,NO
Art,Eve Azure,YES
Art,Eve Beige,NO
Art,Eve Black,YES
Art,Eve Blue,YES
Art,Eve Brown,NO
Art,Eve Cyan,NO
Art,Eve Davis,YES
Art,Eve Gray,NO
Art,Eve Green,NO
Art,Eve Indigo,YES
Art,Eve Johnson,NO
Art,Eve Magenta,NO
Art,Eve Orange,NO
Art,Eve Pink,NO
Art,Eve Purple,YES
Art,Eve Red,NO
Art,Eve Teal,NO
Art,Eve Violet,YES
Art,Eve White,YES
Art,Eve Yellow,NO
Art,Frank Azure,NO
Art,Frank Beige,YES
Art,Frank Black,YES
Art,Frank Blue,NO
Art,Frank Brown,YES
Art,Frank Cyan,NO
Art,Frank Davis,YES
Art,Frank Gray,NO
Art,Frank Green,NO
Art,Frank Indigo,NO
Art,Frank Johnson,NO
Art,Frank Magenta,NO
Art,Frank Orange,YES
Art,Frank Pink,NO
Art,Frank Purple,YES
Art,Frank Red,YES
Art,Frank Teal,NO
Art,Frank Violet,YES
Art,Frank White,YES
Art,Frank Yellow,NO
Art,Grace Azure,YES
Art,Grace Beige,YES
Art,Grace Black,YES
Art,Grace Blue,NO
Art,Grace Brown,YES
Art,Grace Cyan,YES
Art,Grace Davis,YES
Art,Grace Gray,YES
Art,Grace Green,NO
Art,Grace Indigo,YES
Art,Grace Johnson,NO
Art,Grace Magenta,NO
Art,Grace Orange,YES
Art,Grace Pink,YES
Art,Grace Purple,NO
Art,Grace Red,YES
Art,Grace Teal,YES
Art,Grace Violet,YES
Art,Grace White,NO
Art,Grace Yellow,NO
Art,Hank Azure,YES
Art,Hank Beige,YES
Art,Hank Black,YES
Art,Hank Blue,NO
Art,Hank Brown,YES
Art,Hank Cyan,YES
Art,Hank Davis,YES
Art,Hank Gray,NO
Art,Hank Green,NO
Art,Hank Indigo,NO
Art,Hank Johnson,YES
Art,Hank Magenta,YES
Art,Hank Orange,NO
Art,Hank Pink,YES
Art,Hank Purple,NO
Art,Hank Red,NO
Art,Hank Teal,NO
Art,Hank Violet,YES
Art,Hank White,NO
Art,Hank Yellow,YES
Art,Ivy Azure,NO
Art,Ivy Beige,YES
Art,Ivy Black,NO
Art,Ivy Blue,NO
Art,Ivy Brown,NO
Art,Ivy Cyan,NO
Art,Ivy Davis,YES
Art,Ivy Gray,NO
Art,Ivy Green,NO
Art,Ivy Indigo,NO
Art,Ivy Johnson,YES
Art,Ivy Magenta,NO
Art,Ivy Orange,NO
Art,Ivy Pink,YES
Art,Ivy Purple,NO
Art,Ivy Red,YES
Art,Ivy Teal,YES
Art,Ivy Violet,YES
Art,Ivy White,YES
Art,Ivy Yellow,YES
Art,Jack Azure,YES
Art,Jack Beige,YES
Art,Jack Black,YES
Art,Jack Blue,NO
Art,Jack Brown,YES
Art,Jack Cyan,NO
Art,Jack Davis,NO
Art,Jack Gray,YES
Art,Jack Green,NO
Art,Jack Indigo,YES
Art,Jack Johnson,NO
Art,Jack Magenta,YES
Art,Jack Orange,NO
Art,Jack Pink,YES
Art,Jack Purple,NO
Art,Jack Red,NO
Art,Jack Teal,YES
Art,Jack Violet,NO
Art,Jack White,NO
Art,Jack Yellow,NO
Art,Kelly Azure,NO
Art,Kelly Beige,NO
Art,Kelly Black,NO
Art,Kelly Blue,YES
Art,Kelly Brown,YES
Art,Kelly Cyan,YES
Art,Kelly Davis,NO
Art,Kelly Gray,YES
Art,Kelly Green,NO
Art,Kelly Indigo,NO
Art,Kelly Johnson,YES
Art,Kelly Magenta,NO
Art,Kelly Orange,NO
Art,Kelly Pink,NO
Art,Kelly Purple,YES
Art,Kelly Red,YES
Art,Kelly Teal,NO
Art,Kelly Violet,NO
Art,Kelly White,NO
Art,Kelly Yellow,NO
Art,Liam Azure,YES
Art,Liam Beige,YES
Art,Liam Black,YES
Art,Liam Blue,NO
Art,Liam Brown,YES
Art,Liam Cyan,YES
Art,Liam Davis,NO
Art,Liam Gray,YES
Art,Liam Green,YES
Art,Liam Indigo,YES
Art,Liam Johnson,NO
Art,Liam Magenta,YES
Art,Liam Orange,YES
Art,Liam Pink,NO
Art,Liam Purple,NO
Art,Liam Red,NO
Art,Liam Teal,NO
Art,Liam Violet,YES
Art,Liam White,YES
Art,Liam Yellow,YES
Art,Mona Azure,NO
Art,Mona Beige,NO
Art,Mona Black,YES
Art,Mona Blue,YES
Art,Mona Brown,YES
Art,Mona Cyan,YES
Art,Mona Davis,NO
Art,Mona Gray,YES
Art,Mona Green,YES
Art,Mona Indigo,NO
Art,Mona Johnson,NO
Art,Mona Magenta,NO
Art,Mona Orange,NO
Art,Mona Pink,NO
Art,Mona Purple,YES
Art,Mona Red,NO
Art,Mona Teal,NO
Art,Mona Violet,NO
Art,Mona White,YES
Art,Mona Yellow,YES
Art,Nick Azure,YES
Art,Nick Beige,YES
Art,Nick Black,NO
Art,Nick Blue,NO
Art,Nick Brown,NO
Art,Nick Cyan,NO
Art,Nick Davis,NO
Art,Nick Gray,YES
Art,Nick Green,NO
Art,Nick Indigo,NO
Art,Nick Johnson,YES
Art,Nick Magenta,YES
Art,Nick Orange,YES
Art,Nick Pink,NO
Art,Nick Purple,NO
Art,Nick Red,YES
Art,Nick Teal,YES
Art,Nick Violet,YES
Art,Nick White,YES
Art,Nick Yellow,NO
Art,Olivia Azure,YES
Art,Olivia Beige,NO
Art,Olivia Black,YES
Art,Olivia Blue,YES
Art,Olivia Brown,YES
Art,Olivia Cyan,YES
Art,Olivia Davis,YES
Art,Olivia Gray,NO
Art,Olivia Green,NO
Art,Olivia Indigo,NO
Art,Olivia Johnson,NO
Art,Olivia Magenta,YES
Art,Olivia Orange,NO
Art,Olivia Pink,YES
Art,Olivia Purple,NO
Art,Olivia Red,NO
Art,Olivia Teal,YES
Art,Olivia Violet,NO
Art,Olivia White,YES
Art,Olivia Yellow,NO
Art,Paul Azure,YES
Art,Paul Beige,NO
Art,Paul Black,NO
Art,Paul Blue,YES
Art,Paul Brown,YES
Art,Paul Cyan,YES
Art,Paul Davis,NO
Art,Paul Gray,YES
Art,Paul Green,YES
Art,Paul Indigo,YES
Art,Paul Johnson,YES
Art,Paul Magenta,YES
Art,Paul Orange,YES
Art,Paul Pink,YES
Art,Paul Purple,NO
Art,Paul Red,YES
Art,Paul Teal,YES
Art,Paul Violet,NO
Art,Paul White,YES
Art,Paul Yellow,NO
Art,Quincy Azure,NO
Art,Quincy Beige,YES
Art,Quincy Black,NO
Art,Quincy Blue,NO
Art,Quincy Brown,YES
Art,Quincy Cyan,NO
Art,Quincy Davis,NO
Art,Quincy Gray,NO
Art,Quincy Green,YES
Art,Quincy Indigo,NO
Art,Quincy Johnson,YES
Art,Quincy Magenta,YES
Art,Quincy Orange,YES
Art,Quincy Pink,YES
Art,Quincy Purple,NO
Art,Quincy Red,NO
Art,Quincy Teal,YES
Art,Quincy Violet,NO
Art,Quincy White,NO
Art,Quincy Yellow,YES
Art,Rita Azure,NO
Art,Rita Beige,NO
Art,Rita Black,NO
Art,Rita Blue,YES
Art,Rita Brown,YES
Art,Rita Cyan,YES
Art,Rita Davis,NO
Art,Rita Gray,NO
Art,Rita Green,NO
Art,Rita Indigo,YES
Art,Rita Johnson,NO
Art,Rita Magenta,NO
Art,Rita Orange,NO
Art,Rita Pink,NO
Art,Rita Purple,NO
Art,Rita Red,NO
Art,Rita Teal,NO
Art,Rita Violet,NO
Art,Rita White,YES
Art,Rita Yellow,YES
Art,Sam Azure,YES
Art,Sam Beige,NO
Art,Sam Black,NO
Art,Sam Blue,NO
Art,Sam Brown,NO
Art,Sam Cyan,NO
Art,Sam Davis,YES
Art,Sam Gray,YES
Art,Sam Green,YES
Art,Sam Indigo,NO
Art,Sam Johnson,YES
Art,Sam Magenta,YES
Art,Sam Orange,NO
Art,Sam Pink,NO
Art,Sam Purple,NO
Art,Sam Red,YES
Art,Sam Teal,NO
Art,Sam Violet,NO
Art,Sam White,NO
Biology,Alice Azure,YES
Biology,Alice Black,NO
Biology,Alice Blue,YES
Biology,Alice Brown,YES
Biology,Alice Cyan,NO
Biology,Alice Davis,NO
Biology,Alice Gray,YES
Biology,Alice Green,YES
Biology,Alice Indigo,YES
Biology,Alice Johnson,YES
Biology,Alice Magenta,YES
Biology,Alice Orange,YES
Biology,Alice Pink,YES
Biology,Alice Purple,YES
Biology,Alice Red,NO
Biology,Alice Teal,YES
Biology,Alice Violet,YES
Biology,Alice White,YES
Biology,Alice Yellow,YES
Biology,Bob Azure,YES
Biology,Bob Beige,YES
Biology,Bob Black,YES
Biology,Bob Blue,YES
Biology,Bob Brown,YES
Biology,Bob Cyan,YES
Biology,Bob Davis,YES
Biology,Bob Gray,YES
Biology,Bob Green,YES
Biology,Bob Indigo,YES
Biology,Bob Johnson,YES
Biology,Bob Magenta,YES
Biology,Bob Orange,YES
Biology,Bob Pink,YES
Biology,Bob Purple,YES
Biology,Bob Red,YES
Biology,Bob Teal,YES
Biology,Bob Violet,YES
Biology,Bob White,YES
Biology,Bob Yellow,YES
Biology,Charlie Azure,YES
Biology,Charlie Beige,YES
Biology,Charlie Black,YES
Biology,Charlie Blue,NO
Biology,Charlie Brown,YES
Biology,Charlie Cyan,YES
Biology,Charlie Davis,YES
Biology,Charlie Gray,YES
Biology,Charlie Green,YES
Biology,Charlie Indigo,YES
Biology,Charlie Johnson,YES
Biology,Charlie Magenta,YES
Biology,Charlie Orange,YES
Biology,Charlie Pink,YES
Biology,Charlie Purple,NO
Biology,Charlie Red,YES
Biology,Charlie Teal,YES
Biology,Charlie Violet,YES
Biology,Charlie White,YES
Biology,Charlie Yellow,YES
Biology,Dana Azure,YES
Biology,Dana Beige,YES
Biology,Dana Black,YES
Biology,Dana Blue,YES
Biology,Dana Brown,YES
Biology,Dana Cyan,YES
Biology,Dana Davis,NO
Biology,Dana Gray,YES
Biology,Dana Green,YES
Biology,Dana Indigo,YES
Biology,Dana Johnson,YES
Biology,Dana Magenta,YES
Biology,Dana Orange,YES
Biology,Dana Pink,YES
Biology,Dana Purple,YES
Biology,Dana Red,YES
Biology,Dana Teal,YES
Biology,Dana Violet,YES
Biology,Dana White,YES
Biology,Dana Yellow,YES
Biology,Eve Azure,YES
Biology,Eve Beige,NO
Biology,Eve Black,YES
Biology,Eve Blue,YES
Biology,Eve Brown,YES
Biology,Eve Cyan,YES
Biology,Eve Davis,YES
Biology,Eve Gray,YES
Biology,Eve Green,YES
Biology,Eve Indigo,NO
Biology,Eve Johnson,YES
Biology,Eve Magenta,YES
Biology,Eve Orange,YES
Biology,Eve Pink,YES
Biology,Eve Purple,YES
Biology,Eve Red,YES
Biology,Eve Teal,YES
Biology,Eve Violet,YES
Biology,Eve White,YES
Biology,Eve Yellow,YES
Biology,Frank Azure,YES
Biology,Frank Beige,YES
Biology,Frank Black,YES
Biology,Frank Blue,YES
Biology,Frank Brown,YES
Biology,Frank Cyan,YES
Biology,Frank Davis,YES
Biology,Frank Gray,YES
Biology,Frank Green,YES
Biology,Frank Indigo,YES
Biology,Frank Johnson,YES
Biology,Frank Magenta,YES
Biology,Frank Orange,YES
Biology,Frank Pink,YES
Biology,Frank Purple,YES
Biology,Frank Red,YES
Biology,Frank Teal,YES
Biology,Frank Violet,YES
Biology,Frank White,YES
Biology,Frank Yellow,YES
Biology,Grace Azure,YES
Biology,Grace Beige,NO
Biology,Grace Black,YES
Biology,Grace Blue,YES
Biology,Grace Brown,YES
Biology,Grace Cyan,YES
Biology,Grace Davis,YES
Biology,Grace Gray,YES
Biology,Grace Green,YES
Biology,Grace Indigo,YES
Biology,Grace Johnson,YES
Biology,Grace Magenta,YES
Biology,Grace Orange,YES
Biology,Grace Pink,YES
Biology,Grace Purple,YES
Biology,Grace Red,YES
Biology,Grace Teal,YES
Biology,Grace Violet,YES
Biology,Grace White,NO
Biology,Grace Yellow,YES
Biology,Hank Azure,YES
Biology,Hank Beige,YES
Biology,Hank Black,YES
Biology,Hank Blue,YES
Biology,Hank Brown,YES
Biology,Hank Cyan,YES
Biology,Hank Davis,YES
Biology,Hank Gray,YES
Biology,Hank Green,YES
Biology,Hank Indigo,YES
Biology,Hank Johnson,YES
Biology,Hank Magenta,YES
Biology,Hank Orange,YES
Biology,Hank Pink,YES
Biology,Hank Purple,YES
Biology,Hank Red,YES
Biology,Hank Teal,YES
Biology,Hank Violet,YES
Biology,Hank White,YES
Biology,Hank Yellow,NO
Biology,Ivy Azure,NO
Biology,Ivy Beige,YES
Biology,Ivy Black,YES
Biology,Ivy Blue,NO
Biology,Ivy Brown,YES
Biology,Ivy Cyan,YES
Biology,Ivy Davis,YES
Biology,Ivy Gray,NO
Biology,Ivy Green,NO
Biology,Ivy Indigo,NO
Biology,Ivy Johnson,YES
Biology,Ivy Magenta,YES
Biology,Ivy Orange,YES
Biology,Ivy Pink,YES
Biology,Ivy Purple,YES
Biology,Ivy Red,YES
Biology,Ivy Teal,YES
Biology,Ivy Violet,YES
Biology,Ivy White,YES
Biology,Ivy Yellow,YES
Biology,Jack Azure,YES
Biology,Jack Beige,YES
Biology,Jack Black,YES
Biology,Jack Blue,YES
Biology,Jack Brown,YES
Biology,Jack Cyan,YES
Biology,Jack Davis,YES
Biology,Jack Gray,YES
Biology,Jack Green,NO
Biology,Jack Indigo,YES
Biology,Jack Johnson,YES
Biology,Jack Magenta,YES
Biology,Jack Orange,YES
Biology,Jack Pink,YES
Biology,Jack Purple,YES
Biology,Jack Red,YES
Biology,Jack Teal,YES
Biology,Jack Violet,YES
Biology,Jack White,YES
Biology,Jack Yellow,YES
Biology,Kelly Azure,YES
Biology,Kelly Beige,YES
Biology,Kelly Black,YES
Biology,Kelly Blue,YES
Biology,Kelly Brown,YES
Biology,Kelly Cyan,YES
Biology,Kelly Davis,YES
Biology,Kelly Gray,YES
Biology,Kelly Green,YES
Biology,Kelly Indigo,YES
Biology,Kelly Johnson,YES
Biology,Kelly Magenta,YES
Biology,Kelly Orange,YES
Biology,Kelly Pink,NO
Biology,Kelly Purple,YES
Biology,Kelly Red,YES
Biology,Kelly Teal,YES
Biology,Kelly Violet,YES
Biology,Kelly White,YES
Biology,Kelly Yellow,YES
Biology,Liam Azure,YES
Biology,Liam Beige,YES
Biology,Liam Black,YES
Biology,Liam Blue,YES
Biology,Liam Brown,YES
Biology,Liam Cyan,YES
Biology,Liam Davis,YES
Biology,Liam Gray,YES
Biology,Liam Green,YES
Biology,Liam Indigo,NO
Biology,Liam Johnson,YES
Biology,Liam Magenta,YES
Biology,Liam Orange,YES
Biology,Liam Pink,YES
Biology,Liam Purple,YES
Biology,Liam Red,NO
Biology,Liam Teal,YES
Biology,Liam Violet,YES
Biology,Liam White,YES
Biology,Liam Yellow,YES
Biology,Mona Azure,YES
Biology,Mona Beige,YES
Biology,Mona Black,YES
Biology,Mona Blue,YES
Biology,Mona Brown,YES
Biology,Mona Cyan,YES
Biology,Mona Davis,YES
Biology,Mona Gray,YES
Biology,Mona Green,YES
Biology,Mona Indigo,YES
Biology,Mona Johnson,NO
Biology,Mona Magenta,YES
Biology,Mona Orange,YES
Biology,Mona Pink,YES
Biology,Mona Purple,YES
Biology,Mona Red,YES
Biology,Mona Teal,YES
Biology,Mona Violet,NO
Biology,Mona White,YES
Biology,Mona Yellow,YES
Biology,Nick Azure,YES
Biology,Nick Beige,YES
Biology,Nick Black,YES
Biology,Nick Blue,YES
Biology,Nick Brown,YES
Biology,Nick Cyan,NO
Biology,Nick Davis,YES
Biology,Nick Gray,NO
Biology,Nick Green,YES
Biology,Nick Indigo,YES
Biology,Nick Johnson,YES
Biology,Nick Magenta,YES
Biology,Nick Orange,YES
Biology,Nick Pink,YES
Biology,Nick Purple,YES
Biology,Nick Red,YES
Biology,Nick Teal,YES
Biology,Nick Violet,YES
